CODE,NAME
S50247,"PT BALI KOKOA INTERNASIONAL (non active)"
S50248,"PT INDAH WINA PRODUCTIONS"
S50249,"UD DELTA PLAZA"
S50250,"PT INTI MEGAH SWARA (JBL GROUP)"
S50251,"PT TIRTHA DEWATA MAHA AGUNG (BALI CATERING COMPANY)"
S50254,"BUJIDET"
S50255,"CV PUSAKA BALI PERSADA (BANYUATIS)"
S50256,"CV PANGAN MITRA BALI (KANZLER)"
S50257,"TREASURES COFFEE"
S50258,"CV BIRU LAUT ABADI (PIA AGUNG)"
S50259,"PT SAYAP MAS UTAMA"
S50260,"PT MAKKO JAYA INDONESIA"
S50261,"BALI HONEY"
S50262,"PT ARJUNA YOGA SAKTI (SUDAMALA)"
S50263,"PT ALAMII NATURA SEJAHTERA"
S50264,"PT GLOBAL UTAMA SENTOSA (NAVY CLUB)"
S50265,"CV PARAMA JAYA NIAGA (BALONKU) CONSIGNMENT"
S50266,"CV INDOKOPI MAKMUR SENTOSA (WOCA)"
S50267,"PT NATAN SUMBER REJEKI"
S50268,"PT SABANG MERAUKE TRADING"
S50269,"PT TAS CENTRE CEMERLANG"
S50270,"PT BANYU BALI PERSADA (ISLAND BREWING)"
S50271,"CV THEOS BUMI BALI"
S50272,"PT RAJAWALI ASIA BALI"
S50273,"PT ROSSO BIANCO (PKP PIPILTIN)"
S50274,"PT JAVAS BALI LESTARI"
S50275,"PT BESTARI JAYA (PALM LAGOON) CONSIGNMENT"
S50276,"PT CATUR SENTOSA ANUGERAH (MR.P BALI)"
S50277,"PT KAIFA INDONESIA"
S50278,"CV BEST INDONESIAN GIFT (PKP)"
S50279,"PT CLASSIC FINE FOODS INDONESIA"
S50280,"PT INDO SPIRIT PERTIWI NUSANTARA (KURA KURA BEER)"
S50281,"PT PUTRA BUANA KARYATAMA"
S50282,"PT LADANG SEHAT INDONESIA"
S50283,"PT AVATAR NUSA ANTARA (FILMORE)"
S50284,"PT GLOBAL ANUGRAH PASIFIK (PKP)"
S50285,"PT OASIS WATERS INTERNATIONAL (OASIS JKT)"
S50286,"CV BIRU LAUT ABADI (PIA AGUNG-PKP)"
S50287,"PT MAXINDO KARYA ANUGERAH PKP JAKARTA"
S50288,"HACHETTE UK DISTRIBUTION LIMITED (PROFILE)"
S50289,"GARNET CAKES"
S50290,"PT ASTHA DIAN MANUNGGAL (ICHITAN JAKARTA)"
S50291,"PT.KRISMA ABADI PERKASA (JAKARTA)"
S50292,"PT BALI KOKOA INTERNASIONAL (JAKARTA) (non active)"
S50293,"PT COMEXTRA MAJORA"
S50294,"PT GANDUM INDONESIA BERGIZI (GRANOLA)"
S50296,"CV RAMA SINTA PERMANA - NON PKP"
S50297,"PT TIRTHA DEWATA MAHA AGUNG (BALI CATERING COMPANY) NON-PKP"
S50298,"PT REGENERATIVE PROVISIONS INDONESIA (BALI FORAGES)"
S50299,"PT MEDIA INSANI ABADI (BAZAAR)"
S50300,"PT STAR MEDIA ABADI (HERWORLD)"
S50301,"MPOK MUMUN OLEH-OLEH JAKARTA (NON PKP)"
S50302,"PT GAMBINO ARTISAN PRIMA (PKP)"
S50303,"NUT NUT BALI BAKERY"
S50304,"PT SINAR MAYURI"
S50305,"PT GONUSA PRIMA DISTRIBUSI (JKT)"
S50306,"PT BUKIT OMBAK"
S50307,"PT LOHMUN INDONESIA"
S50308,"PT SVARGA PANGAN INDONESIA"
S50309,"PT INFINITI GLOBAL ASIA"
S50310,"PT SINARMAS DISTRIBUSI NUSANTARA (JTI JAKARTA)"
S50311,"PT KAIFA INDONESIA (JAKARTA)"
S50312,"PT INDAH WINA PRODUCTIONS (PKP)"
S50313,"AZUROUS INC.DBA CABEAU"
S50314,"BE RELAX"
S50315,"PT POS INDONESIA"
S50316,"PT PRATAMA AGUNG NIAGA (REDBULL)"
S50317,"CV LAPIS BALI GEMILANG"
S50318,"PT. DISTRIBUSI SURYA KENCANA"
S50319,"PT PANEN ARTHA NUSA (REDBULL JAKARTA)"
S50320,"PT BINTANG BALI INDAH (JTI)"
S50321,"GORO GORO KARE BALI"
S50322,"PT ANUGRAH JAYA USAHA"
S50323,"PT BORWITA CITRA PRIMA (RECKIT)"
S50324,"PT AROMADUTA RASAPRIMA"
S50325,"PT SARI INDO RASA (BALI)"
S50326,"PT SARI INDO RASA"
S50327,"KORA TOTE BAG"
S50329,"BAKEAHOLIC"
S50330,"PT MAXINDO KARYA ANUGERAH PKP BALI"
S50331,"PT SENTRALSARI PRIMASENTOSA"
S50332,"PT ASIA PARAMITA INDAH (JAKARTA)"
S50333,"PT ASIA PARAMITA INDAH (BALI)"
S50334,"PT DATASCRIP"
S50335,"PT BALI KOKOA INTERNASIONAL (BALI)"
S50336,"PT BALI KOKOA INTERNASIONAL (JAKARTA)"
S50337,"PT MITRA JAYA PERSADA"
S50338,"KIMCHI SOUVENIR"
S50339,"PT UNIRAMA DUTA NIAGA (PASEO JKT)"
S50340,"HARPERCOLLINS PUBLISHERS LIMITED"
S50341,"PT LINTAS GLOBAL OASE"
S50342,"PT PANGERAN MAJU BAHAGIA"
S50343,"PT CATUR PILAR SEJAHTERA"
S50344,"PT CITRA ALAM BALI (KURA-KURA BEER JKT)"
S50345,"AR BALI (ACCESSORIES JAKARTA)"
S50346,"PT LOVINA BEACH BREWERY (BALI SIP)"
S50347,"TATWA MEDIA"
S50348,"PT DELTA PUSAKA INDAH (UNILAB)"
S50349,"TROVICA"
S50350,"HANS TOY (JUN HO)"
S50351,"GARNET CAKES (BALI)"
S50352,"RUMAH DURIAN KO MADHE"
S50353,"DEAF AUTHENTIC"
S50354,"PT INTERFOOD SUKSES JASINDO"
S50355,"PT HANJAYA MANDALA SAMPOERNA TBK (JAKARTA)"
S50356,"PT SURYA MADISTRINDO (JAKARTA)"
S50357,"PT SUMBER CIPTA MULTINIAGA (JAKARTA)"
S50358,"PT NIAGA WARNA PERSADA"
S50359,"PT KARYA KIRANA SEMPURNA"
S50360,"CV RAJAWALI BOGA SEJAHTERA"
S50362,"PT WINGS SURYA"
S50363,"PT YAFINDO MITRA PERMATA (BATAM)"
S50364,"PT MEDIA TECHNOLOGY"
S50365,"PT FASTRATA BUANA (JAKARTA)"
S50366,"PT SINARMAS DISTRIBUSI NUSANTARA (MAYURI)"
S50367,"PT TRAVEL BLUE INDONESIA (BATAM)"
S50368,"PT EMWAY GLOBALINDO (BATAM)"
S50369,"PT BAMBINI INDONESIA (BATAM)"
S50370,"CV SAFIR INDO RAYA"
S50371,"CV PROSPERINDO NUSA JAYA (BATAM)"
S50372,"PT BINTANG INTAN SARANA (BATAM)"
S50373,"PT SUKSES JAYA INDAH (BATAM)"
S50374,"PT SUKANDA DJAYA (BATAM)"
S50375,"PT INTERFOOD SUKSES JASINDO (BATAM)"
S50376,"PT SELARAS MAKMUR SEJATI (BATAM)"
S50377,"PT DATASCRIP (BATAM)"
S50378,"PT INTEGRITAS DINAMIKA INDONESIA (BATAM)"
S50379,"PT ASIA TEKNOLOGI INTEGRITAS (BATAM)"
S50380,"CV SUN FLOWER (BATAM)"
S50381,"PT DUA PULUH TIGA (BATAM)"
S50382,"PT KHARISMA SENTRA MANDIRI (BATAM)"
S50383,"PT SAMSONITE INDONESIA (BATAM)"
S50384,"PT DIGITAL INOVASI ASIA (BATAM)"
S50385,"PT LOHMUN INDONESIA (BATAM)"
S50386,"DEAF AUTHENTIC (BATAM)"
S50387,"TROVICA (BATAM)"
S50388,"PT GAJAH IZUMI MAS PERKASA (SANFORD WATER BATAM)"
S50389,"PT INTERFOOD SUKSES JASINDO (JAKARTA)"
S50390,"PT SUNSHINE BOGA UTAMA (JAKARTA)"
S50391,"CALIBRE BATAM"
S50392,"PT SUMBER PANGAN DUNIA"
S50393,"PT BINTAN SUKSES MANDIRI (BATAM)"
S50394,"CV BEST INDONESIAN GIFT (BATAM)"
S50395,"PT BALI ALUS (BATAM)"
S50396,"PT DWI ANTAR BENUA (BINTANG BATAM)"
S50397,"CV SUMBER CIPTA AGUNG (DANONE BATAM)"
S50398,"PT PANTJA AGUNG INTERNUSA (REDBULL BATAM)"
S50399,"PT ARTA BOGA CEMERLANG (BATAM)"
S50400,"PT MUJUR INDO PRATAMA (SOSRO BATAM)"
S50401,"PT ANUGERAH PERKASA SEJAHTERA (ELLIPS/KINO BATAM))"
S50402,"PT LIM SIANG HUAT KEPRINDO (BATAM)"
S50403,"PT SURYA MADISTRINDO (GUDANG GARAM BATAM)"
S50404,"PT CITRA CAHAYA MANDIRI (BATAM)"
S50405,"PT MAP AKTIF ADIPERKASA (HASBRO BATAM)"
S50406,"PT COCA-COLA DISTRIBUTION INDONESIA (BATAM)"
S50407,"TOKO BHINEKA JAYA (BATAM)"
S50408,"PT ANUGERAH MULIA INDOBEL(MONGGO BATAM)"
S50409,"PT. SUMBER KARYA SEJATI (BATAM)"
S50410,"LAMOIST (BATAM)"
S50411,"NEW FOREVER SOUVENIR (BATAM)"
S50412,"PT BESTINDO PERSADA (BATAM)"
S50413,"PT WYSSA ARTHA SEJAHTERA (LE MINERALE BATAM)"
S50414,"PT ASIA PARAMITA INDAH (BATAM)"
S50415,"PT SELATANINDO BATAM MANDIRI (BATAM)"
S50416,"PT ESHAM DIMA (BATAM)"
S50417,"PT PACIFIC BATAM PERKASA (JTI BATAM)"
S50418,"PT SERAYA MAKMUR PERDANA (Bali Hai Batam)"
S50419,"PT CITA MALAYKHAS TRADISI (LUTI GENDANG BATAM)"
S50420,"PT GABE KARYA AGUNG (YAVA BATAM)"
S50421,"PT PAN BARUNA (BATAM)"
S50422,"PT STARTMARA PRATAMA (BATAM)"
S50423,"AZZURI (BATAM)"
S50424,"CV. WIWEKA SUKSES ABADI (BATAM)"
S50425,"UD. UTAMI (BALINE CHOCOLATE)"
S50426,"AR BALI (ACCESSORIES BATAM)"
S50427,"PT ENSEVAL PUTERA (HYDRO COCO BATAM)"
S50428,"PT ALAMJAYA WIRASENTOSA (BATAM)"
S50429,"PT HANJAYA MANDALA SAMPOERNA TBK (BATAM)"
S50430,"PT HANSEL DUTA NIAGA PRATAMA (BATAM)"
S50431,"PT MULTIBOGA ARYA SENTOSA (BATAM)"
S50432,"PT GRAND SEMESTA MANDIRI (BATAM)"
S50433,"PT GRAPHIKA DUTA MANDIRI (BATAM)"
S50434,"UD MATAHARI (BATAM)"
S50435,"HARPER COLLINS PUBLISHER LIMITED (USBORNE BATAM)"
S50436,"WHSMITH UK (BATAM)"
S50437,"WHSMITH ASIA LIMITED HK (BATAM)"
S50438,"HARPERCOLLINS PUBLISHERS LIMITED (BATAM)"
S50439,"HACHETTE UK DISTRIBUTION LIMITED (HUKD BATAM)"
S50440,"HACHETTE UK DISTRIBUTION LIMITED (PROFILE BATAM)"
S50441,"MOC CHOCOLATE NUSANTARA"
S50442,"PT DWI PUTRA TUNGGAL"
S50443,"PT. PROSPERITAS NUSATAMA JAYA (BATAM)"
S50444,"PT ASTEROS SINAR TEKNOLOGI (UGREEN)"
S50445,"CV PINTU KECIL"
S50446,"PT SINARMAS DISTRIBUSI NUSANTARA (SNACK&CANDY)"
S50447,"PT CITRAUTAMA DISTRIBUSINDORAYA (WINGS BATAM)"
S50448,"OTAK-OTAK WARISAN PAK AGU (BATAM)"
S50449,"PT KRISTAL MERAH PUTIH"
S50450,"CV. INDOBAKPIA"
S50451,"PT ALIFINDO MITRA BERSAMA"
S50452,"PT BOGA BERYLINDO JAYA (JAKARTA)"
S50453,"PT BOGA BERYLINDO JAYA (BALI)"
S50454,"CV NARATA WIRA UTAMA (BATAM)"
S50455,"PT INDODAIRY CONTINENTAL"
S50456,"PT JEMBATAN ASIA INDONESIA (SKROSS)"
S50457,"CALIBRE MEDAN"
S50460,"DEAF AUTHENTIC (MEDAN)"
S50461,"TROVICA (MEDAN)"
S50462,"PT SINAR SOSRO GUNUNG SLAMAT (JAKARTA)"
S50463,"PT JIWA DARI WAKTU LUANG"
S50465,"PT BUKUAKU DIGITAL INDONESIA"
S50466,"PT ALAMJAYA WIRASENTOSA"
S50467,"PT SUKANDA DJAYA MEDAN"
S50468,"PT SUMBER REZEKI BERSAMA MEDAN"
S50469,"PT VICTORY JAYATAMA SEMPURNA MEDAN"
S50470,"PT ADAM DANI LESTARI MEDAN"
S50471,"PT EVERBRIGHT MEDAN"
S50472,"PT SINARMAS DISTRIBUSI NUSANTARA MEDAN"
S50473,"PT CIPTA NIAGA SEMESTA MEDAN"
S50474,"PT SINARMAS DISTRIBUSI NUSANTARA JTI MEDAN"
S50475,"PT TIRTA INVESTAMA MEDAN"
S50476,"PT TIRTA ALPIN MAKMUR MEDAN"
S50477,"PT DISTRIVERSA BUANAMAS MEDAN"
S50478,"PT INTERFOOD SUKSES JASINDO MEDAN"
S50479,"PT PARMON PRIMA LESTARI MEDAN"
S50480,"PT SINAR SOSRO GUNUNG SLAMAT MEDAN"
S50481,"PT SURYA MADISTRINDO MEDAN"
S50482,"PT FIRST WORLD INDONESIA"
S50483,"PT ESHAM DIMA MANDIRI MEDAN"
S50484,"PT PUTRA  ARTHA NUSA MEDAN"
S50485,"PT ARTA BOGA CEMERLANG MEDAN"
S50486,"PT MEDAN DISTRIBUSINDO RAYA MEDAN"
S50487,"PT ENSEVAL PUTERA MEGATRADING TBK MEDAN"
S50488,"PT MULIA UTAMA MANDIRI MEDAN"
S50489,"PT NAGA MAS PUTRA MAKMUR MEDAN"
S50490,"PT SELERA PEDAS NUSANTARA MEDAN"
S50491,"BOS TERI MEDAN"
S50492,"AURAJA MEDAN"
S50493,"PT AWI KOPI INDONESIA MEDAN"
S50494,"DULCIA MEDAN"
S50495,"MENDAY GALLERY (MEDAN)"
S50496,"PT DISTRINDO BINTANG AGUNG MEDAN"
S50497,"CV PUMA UTAMA MAKMUR ARTARIA (MEDAN)"
S50498,"PT SINAR SOSRO GUNUNG SLAMAT"
S50499,"PT HANJAYA MANDALA SAMPOERNA MEDAN"
S50500,"PT GLOBAL MITRA PRIMA MEDAN"
S50501,"JACQUELINE KARINA"
S50502,"CV WASTRA NUSANTARA (PITHECANTHROPUS)"
S50503,"POENYA MEDAN (MEDAN CASH)"
S50505,"CV BINTANG LESTARI SEJAHTERA (DUA KELINCI BATAM"
S50506,"CV FANCYLAND FOOD (BATAM)"
S50507,"PT MEGA MANDIRI JAYA (BATAM),"
S50508,"PT FIRST WORLD INDONESIA (MEDAN)"
S50509,"PT BALI JAYA SUKSES SEJAHTERA (CONSIGNMENT)"
S50510,"CV WASTRA NUSANTARA (PITHECANTHROPUS) CONSIGMENT"
S50511,"PT HALCYON GLOBAL TAMA"
S50512,"CV. SUDAISIGN PUTRA TAMA"
S50513,"PT ASIA UTAMA INDONESIA"
S50515,"PT BELLA KREASI INDAH (HANDYCRAFT)"
S50516,"PT PANDAWA REZEKI SEMESTA"
S50517,"PT ADYAJATI LESTARI (MEDAN)"
S50518,"TROPISIA (MEDAN)"
S50519,"PT ORGANIK ADIL SEJAHTERA"
S50520,"PT KONNICHIWA INDONESIA"
S50521,"PT CONSERVANA TRADING & ADVISORY"
S50522,"CV BALI SENTOSA"
S50523,"CV SUKSES GROUP (MEDAN)"
S50524,"PT SUPER INDOTAMA FORSUKSES (MEDAN)"
S50525,"PT TEMAN PEREMPUAN SEHATI"
S50526,"PT OTSUKA DISTRIBUTION INDONESIA (MEDAN)"
S50527,"CV VAM DEWATA JAYA"
S50528,"PT MAJU JAYA POHON PINANG (MEDAN)"
S50529,"PT ROSSO BIANCO (PKP PIPILTIN) MEDAN"
S50530,"CV RAJA PATIN INDONESIA (MEDAN)"
S50531,"PT PRIMA NIAGA INDOMAS (BATAM)"
S50532,"PT NIPPON INDOSARI CORPINDO Tbk (MEDAN)"
S50533,"PT NIPPON INDOSARI CORPINDO Tbk (BATAM)"
S50534,"PT ANUGERAH BERKAT MANDIRI BERSAMA"
S50535,"PT EKAPUTRA DINATA UTAMA BATAM"
S50536,"PT BENTORO ADISANDI IVENA"
S50537,"CV ADNYA WIRA UTAMA"
S50538,"TAMITA  TAKENGON SUKSES JAYA ABADI (MEDAN)"
S50539,"PT ALVA MOUNTINDO MEDAN"
S50540,"PT SINAR LENTERA GEMILANG"
S50541,"TOKO YOHAN (BATAM)"
S50542,"MUTIARA DEWI"
S50543,"CV DUA SATU ABADI JAYA"
S50544,"PT CHANDRA INOVASI PERSADA TRI ABADI (BATAM)"
S50545,"DEAR BALI"
S50546,"ASTA BALI BAGUS"
S50547,"PT BINA BUANA KEMBAR (MEDAN)"
S50548,"PT CIPTA NIAGA SEMESTA JAKARTA"
S50549,"PT PIJAR ABADI SEJAHTERA TRIJAYA (MEDAN)"
S50550,"CV POLI HARMONI MAKMUR"
S50551,"PT INSAN MANDIRI TASYAKUR"
S50552,"PT CITRA MULTI MAKMUR (KUSUKA BALI)"
S50553,"PT AKASHA WIRA INTERNATIONAL (JAKARTA)"
S50554,"CV PANGAN KELUARGA BERKAT (BALI)"
S50555,"CV PANGAN KELUARGA BERKAT (JAKARTA)"
S50556,"PT SELANCAR RAHAYU DISTRIBUSI"
S50557,"PT SELANCAR RAHAYU DISTRIBUSI (MEDAN)"
S50558,"PT SELANCAR RAHAYU DISTRIBUSI (BATAM)"
S50559,"CV DEWANGGA BALI CEMERLANG"
S50560,"PT MENSA BINASUKSES (MEDAN)"
S50561,"CV GLORY FOOD INDONESIA (MEDAN)"
S50562,"PT SRIJAYA RAYA PERKASA (BATAM)"
S50563,"CV ROCK ART"
S50564,"YELLOW BELLS (JAKARTA)"
S50565,"DUA IKAN MEDAN"
S50566,"PT SURFER GIRL INDONESIA"
S50567,"KORA TOTE BAG (BALI)"
S50568,"PT INSAN MANDIRI TASYAKUR (PKP)"
S50569,"PT ENSEVAL PUTERA MEGATRADING TBK BALI"
S50570,"CAP SUPER MEDAN"
S50571,"PT TUMBUH KEARIFAN NUSANTARA"
S50572,"PT GONUSA PRIMA DISTRIBUSI (MEDAN)"
S50573,"JUST IN JAKARTA (MEDAN)"
S50574,"PT DUNLOPILLO INDONESIA"
S50575,"PT AXINDO INFOTAMA"
S50576,"CV BALI NUTRA"
S50577,"PT BINA BUANA KEMBAR (MEDAN) PKP"
S50578,"PT ROKET VENTURA INDONESIA"
S50579,"PT SURYA LESTARI GEMILANG BATAM"
S50580,"PT BALI KOKOA INTERNASIONAL MEDAN"
S50581,"PT TRIMURTI SHANKARA"
S50582,"UD LUSIANA (SPIKOE)"
S50583,"CV KREASI NUSA GEMILANG (MERU BALI)"
S50584,"CV KREASI NUSA GEMILANG (MERU JAKARTA)"
S50585,"PT TIGARAKSA SATRIA MEDAN"
S50586,"PT BAHTERA CIPTA RAGA PRIMA (Banana Boat Bali)"
S50587,"UD LUSIANA (SPIKOE JKT)"
S50588,"PT SABOO BALI INDONESIA"
S50589,"PT MULTI MEDIKA INTERNASIONAL TBK"
S50590,"PT TRI SAKTI PURWOSARI MAKMUR (ESSE)"
S50591,"PT ASHMI SINAR DYNATAMA"
S50592,"PT KIANJAYA MAKMUR SEMESTA"
S50593,"UD CIPTA INOVASI UNGGUL"
S50594,"PT SACRED CONCEPTS BALI"
S50595,"PT BALI TOURISM PROMOTION (CONSIGNMENT)"
S50596,"AR Bali (Food Jakarta)"
S50597,"CV CAP BALI"
S50598,"CV. MAYINDO JAYA SUKSES"
S50599,"CV SINAR BALI (ELLIPS)"
S50600,"PT DELTA SATRIA DEWATA (NESTLE WATER BALI)"
S50601,"PT REJEKI TUJUH ALAM"
S50602,"PT NATUR VITA BIOTEK"
S50603,"PT DELTA SATRIA DEWATA (UNIFAM)"
S50604,"TIMES DISTRIBUTION Pte.ltd"
S50605,"CV KECAK MAMA PERMANA"
S50606,"PT PRAMBANAN KENCANA"
S50608,"PT JEWELRY DESIGN SERVICES"
S50609,"PT GAMBINO ARTISAN PRIMA (PKP JAKARTA)"
S50610,"PT RAMASURYA PERKASA DISTRINDO"
S50611,"PT SINARMAS DISTRIBUSI NUSANTARA (HALEON JAKARTA)"
S50612,"PT BATIK WAYANG INDONESIA"
S50614,"PT JAVAS KARYA TRIPTA (JAKARTA)"
S50615,"SCHOLASTIC ASIA"
S50616,"PT BALIBIASA INDAHKOLEKSI"
S50617,"CV CAP BALI (CONSIGMENT) JKT"
S50618,"PT JENGGALA KERAMIK BALI"
S50619,"PT SUMBER REZEKI BERSAMA MEDAN (JTI) TOBACCO"
S50620,"PT TRIMULYA JAYA SEJAHTERA"
S50621,"PT PARIS FOODS HERITAGE (JAKARTA)"
S50622,"CV DAIKEN PRIMA INDONESIA"
S50623,"PT BATIK WAYANG INDONESIA (CONSIGMENT)"